title,creation_date,creation_date_earliest,creation_date_latest,medium,accession_number,id,credit_line,date_acquired,department,physical_location,item_width,item_height,item_depth,item_diameter,web_url,provenance_text,classification,image_url,artist_id,party_type,full_name,cited_name,role,nationality,birth_date,death_date,birth_place,death_place
"Delivering New Years gifts in the snow [Setchū no nenrei], from the album ""Young Ebisu"" or ""Verses for Ebisu"" [Waka Ebisu]",1789,1789-01-01,1789-01-01,color woodblock print (oban),16.29.21,cmoa:things/a05edeac-ea9a-4f4d-962e-071ba5d45a20,Gift of Andrew Carnegie,1916-11-14,Fine Arts,Not on View,22.0,16.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1001198,"Judson D. Metzgar, Moline, Illinois; his sale, American Art Galleries, New York, November 1916, lot  ; American Art Association, NYC",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=16668&size=Medium,cmoa:parties/701baf6b-252c-4cc7-8739-75a3ef9dda6d|cmoa:parties/577fb631-ad5e-46a9-9c59-4d77763d2111,Person|Person,Utamaro Kitagawa|Juzaburo Tsutaya,Utamaro Kitagawa|Juzaburo Tsutaya,publisher|,Japanese|Japanese,1753-01-01|,1806-01-01|,"Kawagoe (Saitama prefecture, Kanto, Japan)|","Tokyo (Tokyo metropolis, Kanto, Japan)|"
Geisha Holding an Insect Cage,1813,1813-01-01,1813-01-01,color woodblock print (oban),16.29.23,cmoa:things/a289c826-d3cd-414f-b11c-933c265b772e,Gift of Andrew Carnegie,1916-11-14,Fine Arts,Not on View,9.0,13.625,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1001200,"Judson D. Metzgar, Moline, Illinois; his sale, American Art Galleries, New York, November 1916, lot  ; American Art Association, NYC, in 1916",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=100289&size=Medium,cmoa:parties/8d1dacf5-39be-4c90-8339-edfe618fd233|cmoa:parties/41d80fea-49b6-4989-9ebd-fd0cc6f6c6c0,Person|Person,Eizan Kikugawa|Kichibei Eizakiya,Eizan Kikugawa|Kichibei Eizakiya,publisher|,Japanese|Japanese,1787-01-01|,1867-01-01|,"Yokohama (Kanagawa prefecture, Kanto, Japan)|",|
Two women engaged in music-making,c. 1798,1788-01-01,1808-01-01,color woodblock print (oban),16.29.24,cmoa:things/12a15709-a139-4827-a1e5-b43b1b0f99ed,Gift of Andrew Carnegie,1916-11-14,Fine Arts,Not on View,9.5,14.563,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1001201,"Judson D. Metzgar, Moline, Illinois; his sale, American Art Galleries, New York, November 1916, lot  ; American Art Association, NYC",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=100288&size=Medium,cmoa:parties/c058d44e-2e9e-478b-9846-bacf8fb0064f|cmoa:parties/0121ceb8-f600-4f7d-9ef2-c975759ac123,Person|Person,Eishin Choensai|Jinpachi Maruya,Eishin Choensai|Jinpachi Maruya,publisher|,Japanese|Japanese,|,|,|,|
The Actor Onoe Kikugoro III in the role of the Spirit of the Courtesan Usugomo in the play Ume no hatsuharu gojusantsugi (Plums in the spring and the fifty-three post stations),1841,1841-01-01,1841-01-01,color woodblock print (oban),16.29.25,cmoa:things/450d496d-1f87-4715-823e-028740fd4997,Gift of Andrew Carnegie,1916-11-14,Fine Arts,Not on View,16.0,22.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1001202,"Judson D. Metzgar, Moline, Illinois; his sale, American Art Galleries, New York, November 1916, lot  ; American Art Association, NYC, in 1916",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=106203&size=Medium,cmoa:parties/c56a92e7-c074-4404-ab63-200634b9be35|cmoa:parties/44d965ec-f2fb-4b89-8115-6983219fc462,Person|Person,Sadanobu Hasegawa|Tenki,Sadanobu Hasegawa|Tenki,publisher|,Japanese|Japanese,1809-01-01|,1879-01-01|,|,|
A woman coming from under mosquito netting to light her pipe at the wick of a lantern,c. 1818-1820,1813-01-01,1820-01-01,color woodblock print (oban),16.29.26,cmoa:things/029d08b1-64e2-4c4d-ad40-71e137c8d0c7,Gift of Andrew Carnegie,1916-11-14,Fine Arts,Not on View,16.0,22.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1001203,"Judson D. Metzgar, Moline, Illinois; his sale, American Art Galleries, New York, November 1916, lot  ; American Art Association, NYC, in 1916",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=105858&size=Medium,cmoa:parties/d8b507b2-5aa3-4f0c-83b0-70df343dedb4|cmoa:parties/b3a8a759-7b4d-4bbe-a717-d096dc5103a0,Person|Person,Utagawa  Kunisada|Tatsuemon Matsumura,Utagawa  Kunisada|Tatsuemon Matsumura,publisher|,Japanese|Japanese,1786-01-01|,1865-01-01|," Tokyo (To-kyo- metropolis, Kanto, Japan)|"," Tokyo (To-kyo- metropolis, Kanto, Japan)|"
"Night Rain at Oyama: the Peak seen from the Fudo Temple in the foreground (Oyama yau, Zen fudo yori chojo no zu)",c. 1830,1825-01-01,1835-01-01,color woodblock print (oban),16.29.27,cmoa:things/680d38a4-4244-47a0-b440-859332f8dfa0,Gift of Andrew Carnegie,1916-11-14,Fine Arts,Not on View,19.25,14.25,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1001204,"Judson D. Metzgar, Moline, Illinois; his sale, American Art Galleries, New York, November 1916, lot  ; American Art Association, NYC, in 1916",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=104496&size=Medium,cmoa:parties/b90e44be-94fc-43c1-b88e-0caba009c02b|cmoa:parties/4de346cb-c2e6-4b1b-aa77-b7158a19618a,Person|Person,Toyokuni II Utagawa (Toyoshige)|Rihei Iseya,Toyokuni II Utagawa (Toyoshige)|Rihei Iseya,publisher|,Japanese|Japanese,1777-01-01|,1835-01-01|,|,|
Kuwana,1855,1855-01-01,1855-01-01,color woodblock print (oban),16.29.28,cmoa:things/589b3f85-928e-45ec-836f-330b9f622c7c,Gift of Andrew Carnegie,1916-11-14,Fine Arts,Not on View,8.75,13.438,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1001205,"Judson D. Metzgar, Moline, Illinois; his sale, American Art Galleries, New York, November 1916, lot  ; American Art Association, NYC, in 1916",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=107920&size=Medium,cmoa:parties/761afc2a-34b6-47cd-9395-bc054d37fa05|cmoa:parties/d4327114-c6a3-4af9-917a-1ef68d637db9,Person|Person,Hiroshige Andō|Kichizo Tsutaya,Hiroshige Andō|Kichizo Tsutaya,publisher|,Japanese|Japanese,1797-01-01|,1858-01-01|,"Tokyo (Tōkyō metropolis, Kanto, Japan)|","Tokyo (Tōkyō metropolis, Kanto, Japan)|"
The Yamabushi Gorge in Mimasaka Province (Mimasaka Yamabushi-dani),1853,1853-01-01,1853-01-01,color woodblock print (oban),16.29.29,cmoa:things/05d704ec-e0af-4d4b-b4b9-56bd4d7558a6,Gift of Andrew Carnegie,1916-11-14,Fine Arts,Not on View,8.75,13.313,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1001206,"Judson D. Metzgar, Moline, Illinois; his sale, American Art Galleries, New York, November 1916, lot  ; American Art Association, NYC, in 1916",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=107925&size=Medium,cmoa:parties/761afc2a-34b6-47cd-9395-bc054d37fa05|cmoa:parties/b1ab3364-e19c-4b46-8475-f402fc9f70a8,Person|Person,Hiroshige Andō|Heisuke Koshimuraya,Hiroshige Andō|Heisuke Koshimuraya,publisher|,Japanese|Japanese,1797-01-01|,1858-01-01|,"Tokyo (Tōkyō metropolis, Kanto, Japan)|","Tokyo (Tōkyō metropolis, Kanto, Japan)|"
The actor Onoe Kikugorō holding a drum and a signed fan,c. 1785,1775-01-01,1795-01-01,color woodblock print (hosoban),16.29.2,cmoa:things/22870a58-c7a7-4d81-b060-5e13676e29a1,Gift of Andrew Carnegie,1916-11-14,Fine Arts,Not on View,5.875,12.813,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1001207,"Judson D. Metzgar, Moline, Illinois; his sale, American Art Galleries, New York, November 1916, lot The American Art Association, NYC, in 1916",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=100274&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=45396&size=Medium,cmoa:parties/56a03d08-25f6-4f71-9a60-258f9697ec2f|cmoa:parties/c0db8dca-4094-4239-b160-e155781c3572,Person|Person,Ippitsusai Bunchō|Yohachi Nishimuraya,Ippitsusai Bunchō|Yohachi Nishimuraya,publisher|,Japanese|Japanese,1760-01-01|,1794-01-01|,Japan|,|
Numazu,c. 1848-1849,1843-01-01,1849-01-01,color woodblock print (oban),16.29.30,cmoa:things/c408a9a2-5139-4462-8588-12a08f8a926e,Gift of Andrew Carnegie,1916-11-14,Fine Arts,Not on View,13.438,8.375,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1001208,"Judson D. Metzgar, Moline, Illinois; his sale, American Art Galleries, New York, November 1916, lot  ; American Art Association, NYC, in 1916",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=119480&size=Medium,cmoa:parties/761afc2a-34b6-47cd-9395-bc054d37fa05|cmoa:parties/6e42e336-2454-4cee-a336-88653499518f,Person|Person,Hiroshige Andō|Seijiro Maruya,Hiroshige Andō|Seijiro Maruya,publisher|,Japanese|Japanese,1797-01-01|,1858-01-01|,"Tokyo (Tōkyō metropolis, Kanto, Japan)|","Tokyo (Tōkyō metropolis, Kanto, Japan)|"
Ashida,c. 1834-1842,1829-01-01,1842-01-01,color woodblock print,16.29.31,cmoa:things/598733af-0f00-4bdc-9d38-2d98a9e4c657,Gift of Andrew Carnegie,1916-11-14,Fine Arts,Not on View,14.0,8.875,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1001209,"Judson D. Metzgar, Moline, Illinois; his sale, American Art Galleries, New York, November 1916, lot  ; American Art Association, NYC, in 1916",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=99127&size=Medium,cmoa:parties/761afc2a-34b6-47cd-9395-bc054d37fa05|cmoa:parties/fb30d65b-b07c-4851-8650-9e5d1ad75619|cmoa:parties/4de346cb-c2e6-4b1b-aa77-b7158a19618a,Person|Person|Person,Hiroshige Andō|Ikeda Eisen|Rihei Iseya,Hiroshige Andō|Ikeda Eisen|Rihei Iseya,publisher||,Japanese|Japanese|Japanese,1797-01-01|1790-01-01|,1858-01-01|1848-01-01|,"Tokyo (Tōkyō metropolis, Kanto, Japan)|Tokyo (Tōkyō metropolis, Kanto, Japan)|","Tokyo (Tōkyō metropolis, Kanto, Japan)||"
Descending Geese at Katada (Katada no rakugan),1834-1835,1834-01-01,1835-01-01,color woodblock print (oban),16.29.32,cmoa:things/fddd210a-0e9f-4f33-8665-6293f39465b2,Gift of Andrew Carnegie,1916-11-14,Fine Arts,Not on View,13.75,8.813,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1001210,"Judson D. Metzgar, Moline, Illinois; his sale, American Art Galleries, New York, November 1916, lot  ; American Art Association, NYC, in 1916",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=107921&size=Medium,cmoa:parties/761afc2a-34b6-47cd-9395-bc054d37fa05|cmoa:parties/2c1e846f-40bf-4117-8904-0a0145523913,Person|Person,Hiroshige Andō|Heikichi Yamamotoya,Hiroshige Andō|Heikichi Yamamotoya,publisher|,Japanese|Japanese,1797-01-01|,1858-01-01|,"Tokyo (Tōkyō metropolis, Kanto, Japan)|","Tokyo (Tōkyō metropolis, Kanto, Japan)|"
Gathering shells on the beach near Enoshima,c.1784,1774-01-01,1794-01-01,color woodblock print (hashira-e),16.29.6,cmoa:things/0931d85a-d3c9-421c-8d66-0a2da1125e0d,Gift of Andrew Carnegie,1916-11-14,Fine Arts,Not on View,4.875,26.125,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1001215,"Judson D. Metzgar, Moline, Illinois; his sale, American Art Galleries, New York, November 1916, lot  ; American Art Assoc., NYC, in 1916",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=107500&size=Medium,cmoa:parties/17d7135e-bf6f-4f30-b07f-b44839d97245|cmoa:parties/c0db8dca-4094-4239-b160-e155781c3572,Person|Person,Kiyonaga Torii|Yohachi Nishimuraya,Kiyonaga Torii|Yohachi Nishimuraya,publisher|,Japanese|Japanese,1752-01-01|,1815-01-01|," Tokyo (To-kyo- metropolis, Kanto, Japan)|"," Tokyo (To-kyo- metropolis, Kanto, Japan)|"
A party at a teahouse in the Yoshiwara Pleasure Quarter (the middle sheet of a triptych),c. 1792,1782-01-01,1802-01-01,color woodblock print (oban),16.29.7,cmoa:things/90022935-c230-4420-93b8-66b5de5948bb,Gift of Andrew Carnegie,1916-11-14,Fine Arts,Not on View,9.75,15.125,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1001216,"Judson D. Metzgar, Moline, Illinois; his sale, American Art Galleries, New York, November 1916, lot  ; American Art Association, NYC, in 1916",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=100291&size=Medium,cmoa:parties/e21dcae9-1cd6-4311-b2bc-2c3e813e498e|cmoa:parties/28b5433f-65c7-477d-beb5-bb1982f235ed,Person|Person,Eishi Chôbunsai|Kisaburo Iwatoya,Eishi Chôbunsai|Kisaburo Iwatoya,publisher|,Japanese|Japanese,1756-01-01|,1829-01-01|,Japan|,|
Chrysanthemum Festival,c. 1794-1795,1784-01-01,1795-01-01,color woodblock print (oban),16.29.8,cmoa:things/3d2da500-f669-4ecf-8720-67523b1f9d02,Gift of Andrew Carnegie,1916-11-14,Fine Arts,Not on View,8.938,13.875,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1001217,"collector's seal of Hayashi Tadamasa; Judson D. Metzgar, Moline, Illinois; his sale, American Art Galleries, New York, November 1916, lot  ; American Art Association, NYC, in 1916",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=100297&size=Medium,cmoa:parties/e21dcae9-1cd6-4311-b2bc-2c3e813e498e|cmoa:parties/c0db8dca-4094-4239-b160-e155781c3572,Person|Person,Eishi Chôbunsai|Yohachi Nishimuraya,Eishi Chôbunsai|Yohachi Nishimuraya,publisher|,Japanese|Japanese,1756-01-01|,1829-01-01|,Japan|,|
Women in an Interior of a Tea House,1798,1798-01-01,1798-01-01,color woodblock print (oban),16.29.9,cmoa:things/bddced32-d41a-4e90-b2ed-be5b73369562,Gift of Andrew Carnegie,1916-11-14,Fine Arts,Not on View,14.625,8.625,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1001218,"Judson D. Metzgar, Moline, Illinois; his sale, American Art Galleries, New York, November 1916, lot  ; American Art Association, NYC, in 1916",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=100296&size=Medium,cmoa:parties/e21dcae9-1cd6-4311-b2bc-2c3e813e498e|cmoa:parties/577fb631-ad5e-46a9-9c59-4d77763d2111,Person|Person,Eishi Chôbunsai|Juzaburo Tsutaya,Eishi Chôbunsai|Juzaburo Tsutaya,publisher|,Japanese|Japanese,1756-01-01|,1829-01-01|,Japan|,|
Giorgione,c.1655-1660,1640-01-01,1660-01-01,engraving,16.34.10,cmoa:things/f4c2fa37-79d7-46a3-b932-71b4ccc048aa,Gift of Andrew Carnegie,1916-01-26,Fine Arts,Not on View,16.0,22.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1001244,"F. Meder, New York",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=102134&size=Medium,cmoa:parties/485294c7-9e35-445f-b1f0-adf3c887bb28|cmoa:parties/9f0cf8c1-9ae1-4a6f-a137-0ffa55bd8587,Person|Person,Cornelis Van Dalen II|Lorenzo Lotto,"Van Dalen, Cornelis|Lotto, Lorenzo",after|,Dutch|Italian,1642-01-01|1465-01-01,1660-01-01|1556-01-01,|,|
Sebastiano del Piombo,c. 1655-1660,1640-01-01,1660-01-01,engraving,16.34.11,cmoa:things/187b926f-aa23-46ff-b42e-c940fe080767,Gift of Andrew Carnegie,1916-01-26,Fine Arts,Not on View,16.0,22.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1001245,"F. Meder, New York",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=102167&size=Medium,cmoa:parties/485294c7-9e35-445f-b1f0-adf3c887bb28|cmoa:parties/4c0c90d0-6ad5-4f90-9082-7391549ae1a8,Person|Person,Cornelis Van Dalen II|Jacopo Robusti (called Tintoretto),"Van Dalen, Cornelis|Robusti, Jacopo",after|,Dutch|Italian,1642-01-01|1518-01-01,1660-01-01|1594-01-01,"|Venice (Venezia province, Veneto, Italy)","|Venice (Venezia province, Veneto, Italy)"
Cornelis de Vos,1654-1664,1654-01-01,1664-01-01,etching,16.34.2,cmoa:things/72c60bd4-57e8-4295-8c7b-dad0e5bae677,Gift of Andrew Carnegie,1916-01-26,Fine Arts,Not on View,3.0,3.938,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1001247,"F. Meder, New York",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=100913&size=Medium,cmoa:parties/d0b75f0c-8244-4846-a409-6d57f86cad00|cmoa:parties/210e1c56-9d71-42e3-8910-f04ec39e3393,Person|Person,Richard Gaywood|Anthony van Dyck,"Gaywood, Richard|Van Dyck, Anthony",after|,English|Flemish,1630-01-01|1599-01-01,1711-01-01|1641-01-01,"|Antwerp (Antwerpen province, Flanders, Belgium)","|London, England"
L'Aretino,c. 1655-1660,1640-01-01,1660-01-01,engraving,16.34.8,cmoa:things/893627df-b70c-4ed3-aecb-f08e7a145f37,Gift of Andrew Carnegie,1916-01-26,Fine Arts,Not on View,16.0,22.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1001253,"F. Meder, New York",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=102143&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=102144&size=Medium,cmoa:parties/485294c7-9e35-445f-b1f0-adf3c887bb28|cmoa:parties/e93d521c-d443-4b0c-86fe-12e7df38b03b,Person|Person,Cornelis Van Dalen II|Titian,"Van Dalen, Cornelis|Titian",after|,Dutch|Italian,1642-01-01|1488-01-01,1660-01-01|1576-01-01,"|Pieve di Cadore, Belluno province, Veneto, Italy",|Venice
Boccaccio,c. 1655-1660,1640-01-01,1660-01-01,engraving,16.34.9,cmoa:things/2a8d128c-8204-4f9b-971d-fd1ccd846a09,Gift of Andrew Carnegie,1916-01-26,Fine Arts,Not on View,16.0,22.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1001254,F. Meder New York,prints,http://collection.cmoa.org/CollectionImage.aspx?irn=102147&size=Medium,cmoa:parties/485294c7-9e35-445f-b1f0-adf3c887bb28|cmoa:parties/e93d521c-d443-4b0c-86fe-12e7df38b03b,Person|Person,Cornelis Van Dalen II|Titian,"Van Dalen, Cornelis|Titian",after|,Dutch|Italian,1642-01-01|1488-01-01,1660-01-01|1576-01-01,"|Pieve di Cadore, Belluno province, Veneto, Italy",|Venice
La cruche cassée (The Broken Pitcher),1773,1773-01-01,1773-01-01,engraving,16.38.4,cmoa:things/63351780-5df8-4614-b625-0e8269f50f19,Purchase,1916-02-28,Fine Arts,Not on View,22.0,28.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1001270,"Arthur H. Hahlo and Company, New York City, New York",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=111091&size=Medium,cmoa:parties/cee0e31e-aa28-4704-85d7-c0a2056b215b|cmoa:parties/2ca5646d-edb9-430c-b68a-988af0a5780a,Person|Person,Jean Massard|Jean-Baptiste Greuze,"Massard, Jean|Greuze, Jean B.",after|,French|French,1740-01-01|1725-01-01,1822-01-01|1805-01-01,"Bellême (Orne, Basse-Normandie, France)| Tournus (Saône-et-Loire, Burgundy region, France)","Paris (Ville de Paris department, Île-de-France, France)| Paris (Ville de Paris department, Île-de-France, France)"
Christian IV,1625,1625-01-01,1625-01-01,engraving,16.38.6,cmoa:things/6c34cf87-6685-4356-b559-8b8af7468fbd,Purchase,1916-02-28,Fine Arts,Not on View,22.0,28.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1001272,"Arthur H. Hahlo and Company, New York City, New York",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=101914&size=Medium,cmoa:parties/595ddc05-2905-48ff-8b50-87177a4e180d|cmoa:parties/893b88fd-a84e-4ee1-815a-d7786676b54f,Person|Person,Jan Muller|Pieter F. Isaacsz.,"Muller, Jan Harmensz|Isaacsz., Pieter F.",after|,Dutch|Dutch,1571-01-01|1569-01-01,1628-01-01|1625-01-01,"Amsterdam (North Holland, Netherlands)|","Amsterdam (North Holland, Netherlands)|"
Miss Wallis,1795,1795-01-01,1795-01-01,stipple engraving and etching,16.40.1,cmoa:things/eb746c01-8360-4098-99e9-6cabbf64c62a,Purchase,1916-02-28,Fine Arts,Not on View,22.0,28.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1001278,"George Busse, NYC",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=110553&size=Medium,cmoa:parties/a202fc52-b50a-4e91-8787-31f247dd46a4|cmoa:parties/26f93937-5766-4e73-a6fd-049974766576,Person|Person,Francesco Bartolozzi|John Opie,"Bartolozzi, Francesco|Opie, John",after|,Italian|British,1727-01-01|1761-01-01,1815-01-01|1807-01-01,"Florence (Firenze province, Tuscany, Italy)|St. Agnes, Cornwall","Lisbon (Distrito de Lisboa, Portugal)|London"
Robert de Cotte,c. 1720,1710-01-01,1730-01-01,engraving on paper,16.41.1,cmoa:things/d19f2acb-e9bd-406c-bd7d-0658ce8b237f,Purchase,1916-02-28,Fine Arts,Not on View,22.0,28.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1001280,"Max Williams, New York, NY",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=114687&size=Medium,cmoa:parties/de11b0f3-39e9-4e20-bce2-3e672653cab9|cmoa:parties/6e2b827d-6077-4933-bf87-f3130fe7571c,Person|Person,Pierre-Imbert Drevet|Hyacinthe Rigaud,"Drevet, Pierre-Imbert|Rigaud, Hyacinthe",printmaker|painter,French|French,1697-01-01|1659-01-01,1739-01-01|1743-01-01,"Paris (Ville de Paris department, Île-de-France, France)|Perpignan, France","Paris (Ville de Paris department, Île-de-France, France)|Paris, France"
"Thomas Boleyn, Earl of Ormond","July 14, 1797",1797-07-14,1797-07-14,etching and stipple engraving printed in color on pink paper,17.25.10,cmoa:things/c8fd0bd8-e0b2-4d82-a0ef-86bf96bff397,Andrew Carnegie Fund,1917-01-30,Fine Arts,Not on View,22.0,28.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1001441,"James Tregaskis, London",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=110555&size=Medium,cmoa:parties/a202fc52-b50a-4e91-8787-31f247dd46a4|cmoa:parties/0f025e69-aecd-4742-9e21-ff76f31cd486,Person|Person,Francesco Bartolozzi|Hans Holbein the Younger,"Bartolozzi, Francesco|Holbein, Hans, the Younger",after|,Italian|German,1727-01-01|1497-01-01,1815-01-01|1543-01-01,"Florence (Firenze province, Tuscany, Italy)|Augsburg, Germany","Lisbon (Distrito de Lisboa, Portugal)|London, England"
Sir Thomas Wyat,"October 1, 1793",1793-10-01,1793-10-01,etching and stipple engraving printed in color on pink paper,17.25.11,cmoa:things/992c73c6-f9c0-4237-813b-fe092eb8ed7b,Andrew Carnegie Fund,1917-01-30,Fine Arts,Not on View,16.0,22.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1001442,"James Tregaskis, London",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=104217&size=Medium,cmoa:parties/a202fc52-b50a-4e91-8787-31f247dd46a4|cmoa:parties/0f025e69-aecd-4742-9e21-ff76f31cd486,Person|Person,Francesco Bartolozzi|Hans Holbein the Younger,"Bartolozzi, Francesco|Holbein, Hans, the Younger",after|,Italian|German,1727-01-01|1497-01-01,1815-01-01|1543-01-01,"Florence (Firenze province, Tuscany, Italy)|Augsburg, Germany","Lisbon (Distrito de Lisboa, Portugal)|London, England"
Queen Catherine Howard,"October 1, 1797",1797-10-01,1797-10-01,etching and stipple engraving printed in color on pink paper,17.25.12,cmoa:things/dc67b0b1-f770-4689-9e06-8523e216ba66,Andrew Carnegie Fund,1917-01-30,Fine Arts,Not on View,14.25,19.25,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1001443,"James Tregaskis, London",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=104223&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=104224&size=Medium,cmoa:parties/a202fc52-b50a-4e91-8787-31f247dd46a4|cmoa:parties/0f025e69-aecd-4742-9e21-ff76f31cd486,Person|Person,Francesco Bartolozzi|Hans Holbein the Younger,"Bartolozzi, Francesco|Holbein, Hans, the Younger",after|,Italian|German,1727-01-01|1497-01-01,1815-01-01|1543-01-01,"Florence (Firenze province, Tuscany, Italy)|Augsburg, Germany","Lisbon (Distrito de Lisboa, Portugal)|London, England"
"William Fitzwilliam, Earl of Southampton","January 24, 1793",1793-01-24,1793-01-24,etching and stipple engraving printed in color on pink paper,17.25.13,cmoa:things/b05c7474-fd69-471d-b77b-edec0a738fe1,Andrew Carnegie Fund,1917-01-30,Fine Arts,Not on View,16.0,22.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1001444,"James Tregaskis, London",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=104216&size=Medium,cmoa:parties/a202fc52-b50a-4e91-8787-31f247dd46a4|cmoa:parties/0f025e69-aecd-4742-9e21-ff76f31cd486,Person|Person,Francesco Bartolozzi|Hans Holbein the Younger,"Bartolozzi, Francesco|Holbein, Hans, the Younger",after|,Italian|German,1727-01-01|1497-01-01,1815-01-01|1543-01-01,"Florence (Firenze province, Tuscany, Italy)|Augsburg, Germany","Lisbon (Distrito de Lisboa, Portugal)|London, England"
Sir George Carew,"September 22, 1795",1795-09-22,1795-09-22,etching and stipple engraving printed in color on pink paper,17.25.14,cmoa:things/31b68c7c-4cb6-42d8-a085-ab84dff8370c,Andrew Carnegie Fund,1917-01-30,Fine Arts,Not on View,16.0,22.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1001445,"James Tregaskis, London",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=104214&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=104215&size=Medium,cmoa:parties/a202fc52-b50a-4e91-8787-31f247dd46a4|cmoa:parties/0f025e69-aecd-4742-9e21-ff76f31cd486,Person|Person,Francesco Bartolozzi|Hans Holbein the Younger,"Bartolozzi, Francesco|Holbein, Hans, the Younger",after|,Italian|German,1727-01-01|1497-01-01,1815-01-01|1543-01-01,"Florence (Firenze province, Tuscany, Italy)|Augsburg, Germany","Lisbon (Distrito de Lisboa, Portugal)|London, England"
