song_title,lyrics
Words of Love,"Words of Love Lyrics[Verse 1]
Hold me close and tell me how you feel
Tell me love is real

[Verse 2]
Words of love you whisper soft and true
Darling, I love you

[Instrumental Verses]

[Verse 3]
Let me hear you say the words I long to hear
Darling, when you're near
[Verse 2]
Words of love you whisper soft and true
Darling, I love youYou might also like6Embed"
Honey Don't,"Honey Don’t Lyrics[Intro]

[Verse 1]
Well how come you say you will when you won't
Say you do, baby, when you don't?
Let me know honey how you feel
Tell the truth now, is love real?

[Chorus]
But ah ah well honey don't, well honey don't
Honey don't, honey don't, honey don't
I say you will when you won't, ah ah, honey, don't
[Verse 2]
Well I love you, baby, and you ought to know
I like the way that you wear your clothes
Everything about you is so doggone sweet
You got that sand all over your feet

[Chorus]
But ah ah well honey don't, honey don't
Honey don't, honey don't, honey don't
I say you will when you won't, ah ah, honey, don't
(Ahh rock on George, one time for me!
I feel fine, mmmhm. I said...)

[Verse 3]
Well sometimes I love you on a Saturday night
Sunday morning you don't look right
You've been out painting the town
Ah ah baby, been stepping around

[Chorus]
But ah ah well honey don't, I said honey don't
Honey don't, honey don't, honey don't
I say you will when you won't, ah ah, honey, don't
(Ah rock on George, for Ringo one time! Woo!)

[Outro]
Well honey don't, well honey don't
Uh little, little honey don't
I say you will when you won't, ah ah, honey, don'tYou might also like3Embed"
Every Little Thing,"Every Little Thing Lyrics[Intro]

[Verse 1]
When I'm walking beside her
People tell me I'm lucky
Yes, I know I'm a lucky guy
I remember the first time
I was lonely without her
Can't stop thinking about her now

[Chorus]
Every little thing she does
She does for me, yeah
And you know the things she does
She does for me, oooh
[Verse 2]
When I'm with her I'm happy
Just to know that she loves me
Yes, I know that she loves me now
There is one thing I'm sure of
I will love her forever
For I know love will never die

[Chorus]
Every little thing she does
She does for me, yeah
And you know the things she does
She does for me, oooh

[Guitar Solo]

[Chorus]
Every little thing she does
She does for me, yeah
And you know the things she does
She does for me, oooh

[Outro]
Every little thing
Every little thingYou might also like1Embed"
I Don't Want to Spoil the Party,"I Don’t Want to Spoil the Party Lyrics[Intro]

[Verse 1]
I don't want to spoil the party, so I'll go
I would hate my disappointment to show
There's nothing for me here, so I will disappear
If she turns up while I'm gone, please let me know

[Verse 2]
I've had a drink or two, and I don't care
There's no fun in what I do when she's not there
I wonder what went wrong, I've waited far too long
I think I'll take a walk and look for her
[Bridge]
Though tonight she's made me sad
I still love her
If I find her, I'll be glad
I still love her

[Verse 1]
I don't want to spoil the party, so I'll go
I would hate my disappointment to show
There's nothing for me here, so I will disappear
If she turns up while I'm gone, please let me know
[Instrumental Bridge]

[Bridge]
Though tonight she's made me sad
I still love her
If I find her, I'll be glad
I still love her

[Verse 2]
Though I've had a drink or two, and I don't care
There's no fun in what I do if she's not there
I wonder what went wrong, I've waited far too long
I think I'll take a walk and look for her
You might also like[Outro]3Embed"
What You're Doing,"What You’re Doing Lyrics[Verse 1]
Look what you're doing, I'm feeling blue and lonely
Would it be too much to ask of you
What you're doing to me?

[Verse 2]
You got me running, and there's no fun in it
Why should it be so much to ask of you
What you're doing to me?

[Chorus]
I've been waiting here for you
Wondering what you're gonna do
And should you need a love that's true
It's me
[Verse 3]
Please stop your lying, you've got me crying, girl
Why should it be so much to ask of you
What you're doing to me?

[Instrumental Break]

[Chorus]
I've been waiting here for you
Wondering what you're gonna do
And should you need a love that's true
It's me

[Verse 4]
Please stop your lying, you've got me crying, girl
Why should it be so much to ask of you
What you're doing to me?
What you're doing to me?
What you're doing to me?You might also likeEmbed"
Everybody's Trying to Be My Ba,"Everybody’s Trying to Be My Baby Lyrics[Verse 1]
Well they took some honey from a tree
Dressed it up and they called it me

[Chorus]
Everybody's trying to be my baby
Everybody's trying to be my baby
Everybody's trying to be my baby, now

[Verse 2]
Woke up last night, half past four
Fifty women knocking on my door
[Chorus]
Everybody's trying to be my baby
Everybody's trying to be my baby
Everybody's trying to be my baby, now

[Verse 3]
Went out last night, I didn't stay late
Before I got home I had nineteen dates

[Chorus]
Everybody's trying to be my baby
Everybody's trying to be my baby
Everybody's trying to be my baby, now

[Verse 4/3]
Went out last night, I didn't stay late
Before I got home I had nineteen dates

[Chorus]
Everybody's trying to be my baby
Everybody's trying to be my baby
Everybody's trying to be my baby, now

[Verse 5/1]
Well they took some honey from a tree
Dressed it up and they called it me
You might also like[Chorus]
Everybody's trying to be my baby
Everybody's trying to be my baby
Everybody's trying to be my baby, nowEmbed"
Help!,"Help! Lyrics[Intro]
(Help!) I need somebody
(Help!) Not just anybody
(Help!) You know I need someone
(Help!)

[Verse 1]
When I was younger so much younger than today
I never needed anybody's help in any way
But now these days are gone, I'm not so self assured
Now I find I've changed my mind and opened up the doors
[Chorus]
Help me if you can, I'm feeling down
And I do appreciate you being 'round
Help me get my feet back on the ground
Won't you please, please help me?

[Verse 2]
And now my life has changed in oh so many ways
My independence seems to vanish in the haze
But every now and then I feel so insecure
I know that I just need you like I've never done before

[Chorus]
Help me if you can, I'm feeling down
And I do appreciate you being 'round
Help me get my feet back on the ground
Won't you please, please help me?

[Verse 3]
When I was younger, so much younger than today
I never needed anybody's help in any way
But now these days are gone, I'm not so self assured
Now I find I've changed my mind and opened up the doors

[Chorus]
Help me if you can, I'm feeling down
And I do appreciate you being 'round
Help me get my feet back on the ground
Won't you please, please help me?
Help me? Help me? OohYou might also like36Embed"
The Night Before,"The Night Before Lyrics[Verse 1]
We said our goodbyes (Ah, the night before)
Love was in your eyes (Ah, the night before)
Now, today, I find you have changed your mind
Treat me like you did the night before

[Verse 2]
Were you telling lies? (Ah, the night before?)
Was I so unwise? (Ah, the night before?)
When I held you near, you were so sincere
Treat me like you did the night before
[Bridge]
Last night is a night I will remember you by
When I think of things we did, it makes me wanna cry

[Verse 3]
We said our goodbye (Ah, the night before)
Love was in your eyes (Ah, the night before)
Now, today, I find you have changed your mind
Treat me like you did the night before
(Yes)

[Guitar solo]

[Refrain]
When I held you near, you were so sincere
Treat me like you did the night before

[Bridge]
Last night is a night I will remember you by
When I think of things we did, it makes me wanna cry

[Verse 4]
Were you telling lies? (Ah, the night before)
Was I so unwise? (Ah, the night before)
When I held you near, you were so sincere
Treat me like you did the night before
Like the night beforeYou might also like6Embed"
You've Got to Hide Your Love Away,"You’ve Got to Hide Your Love Away Lyrics[Verse 1]
Here I stand head in hand
Turn my face to the wall
If she's gone I can't go on
Feeling two-foot small
Everywhere people stare
Each and every day
I can see them laugh at me
And I hear them say

[Chorus]
Hey, you've got to hide your love away
Hey, you've got to hide your love away
[Verse 2]
How can I even try
I can never win
Hearing them, seeing them
In the state I'm in
How could she say to me
Love will find a way
Gather round all you clowns
Let me hear you say

[Chorus]
Hey, you've got to hide your love away
Hey, you've got to hide your love awayYou might also like14Embed"
I Need You,"I Need You Lyrics[Verse 1]
You don't realize how much I need you
Love you all the time and never leave you
Please come on back to me, I'm lonely as can be
I need you

[Verse 2]
Said you had a thing or two to tell me
How was I to know you would upset me?
I didn't realize as I looked in your eyes
You told me
[Bridge]
Oh yes, you told me, you don't want my lovin' anymore
That's when it hurt me and feeling like this I just can't go on anymore

[Verse 3]
Please remember how I feel about you
I could never really live without you
So, come on back and see just what you mean to me
I need you

[Bridge]
But when you told me, you don't want my lovin' anymore
That's when it hurt me and feeling like this, I just can't go on anymore

[Verse 3]
Please remember how I feel about you
I could never really live without you
So, come on back and see just what you mean to me
I need you
I need you
I need youYou might also like2Embed"
Another Girl,"Another Girl Lyrics[Chorus]
For I have got another girl
Another girl

[Verse 1]
You're making me say that I've got nobody but you
But as from today, well, I've got somebody that's new
I ain't no fool and I don't take what I don't want

[Chorus]
For I have got another girl
Another girl
[Verse 2]
She's sweeter than all the girls and I met quite a few
Nobody in all the world can do what she can do
And so I'm telling you, ""This time you'd better stop""

[Chorus]
For I have got another girl
Another girl

[Bridge]
Who will love me till the end
Through thick and thin
She will always be my friend

[Verse 3]
I don't want to say that I've been unhappy with you
But, as from today, well, I've seen somebody that's new
I ain't no fool and I don't take what I don't want

[Chorus]
For I have got another girl
Another girl

[Bridge]
Who will love me till the end
Through thick and thin
She will always be my friend
You might also like[Verse 3]
I don't want to say that I've been unhappy with you
But, as from today, well, I've seen somebody that's new
I ain't no fool and I don't take what I don't want

[Chorus]
For I have got another girl
Another girl
Another girl3Embed"
You're Going to Lose That Girl,"You’re Going to Lose That Girl Lyrics[Chorus]
You're gonna lose that girl (Yes, yes, you're gonna lose that girl)
You're gonna lose that girl (Yes, yes, you're gonna lose that girl)

[Verse 1]
If you don't take her out tonight
She's gonna change her mind (She's gonna change her mind)
And I will take her out tonight
And I will treat her kind (I'm gonna treat her kind)

[Chorus]
You're gonna lose that girl (Yes, yes, you're gonna lose that girl)
You're gonna lose that girl (Yes, yes, you're gonna lose that girl)
[Verse 2]
If you don't treat her right, my friend
You're gonna find her gone, (You're gonna find her gone)
'Cause I will treat her right, and then
You'll be the lonely one (You're not the only one)

[Chorus]
You're gonna lose that girl (Yes, yes, you're gonna lose that girl)
You're gonna lose that girl (Yes, yes, you're gonna lose that girl)
You're gonna loo... (Yes, yes, you're gonna lose that girl)

[Bridge]
I'll make a point
Of taking her away from you
(Watch what you do)
Yeah
The way you treat her
What else can I do?

[Guitar solo]
(You're gonna lose that girl)
(You're gonna lose that girl)

[Chorus]
You're gonna lose that girl (Yes, yes, you're gonna lose that girl)
You're gonna lose that girl (Yes, yes, you're gonna lose that girl)
You're gonna loo... (Yes, yes, you're gonna lose that girl)
You might also like[Bridge]
I'll make a point
Of taking her away from you
(Watch what you do)
Yeah
The way you treat her
What else can I do?

[Verse 3]
If you don't take her out tonight
She's gonna change her mind (She's gonna change her mind)
And I will take her out tonight
And I will treat her kind (I'm gonna treat her kind)

[Chorus]
You're gonna lose that girl (Yes, yes, you're gonna lose that girl)
You're gonna lose that girl (Yes, yes, you're gonna lose that girl)
You're gonna lose that girl (Yes, yes, you're gonna lose that girl)3Embed"
Ticket to Ride,"Ticket to Ride Lyrics[Verse 1]
I think I'm gonna be sad, I think it's today, yeah
The girl that's driving me mad is going away

[Chorus]
She's got a ticket to ride
She's got a ticket to ride
She's got a ticket to ride, but she don't care

[Verse 2]
She said that living with me is bringing her down, yeah
She would never be free when I was around
[Chorus]
She's got a ticket to ride
She's got a ticket to ride
She's got a ticket to ride, but she don't care

[Bridge]
I don't know why she's riding so high
She ought to think twice, she ought to do right by me
Before she gets to saying goodbye
She ought to think twice, she ought to do right by me

[Verse 3]
I think I'm going to be sad, I think it's today, yeah
The girl that's driving me mad is going away, yeah

[Chorus]
Oh, she's got a ticket to ride
She's got a ticket to ride
She's got a ticket to ride, but she don't care

[Bridge]
I don't know why she's riding so high
She ought to think twice, she ought to do right by me
Before she gets to saying goodbye
She ought to think twice, she ought to do right by me
You might also like[Verse 4]
She said that living with me was bringing her down, yeah
For she would never be free when I was around

[Chorus]
Oh, she's got a ticket to ride
She's got a ticket to ride
She's got a ticket to ride, but she don't care

[Outro]
My baby don't care
My baby don't care
My baby don't care
My baby don't care
My baby don't care
My baby don't care13Embed"
Act Naturally,"Act Naturally Lyrics[Verse 1]
They're gonna put me in the movies
They're gonna make a big star out of me
We'll make a film about a man that's sad and lonely
And all I gotta do is act naturally

[Chorus]
Well I'll bet you I'm gonna be a big star
Might win an Oscar, you can never tell
The movies gonna make me a big star
'Cause I can play the part so well
[Verse 2]
Well I hope you'll come and see me in the movies
Then I know that you will plainly see
The biggest fool that ever hit the big time
And all I gotta do is act naturally

[Verse 3]
We'll make the scene about a man that's sad and lonely
And begging down upon his bended knee
I'll play the part and I won't need rehearsing
All I have to do is act naturally

[Chorus]
Well I'll bet you I'm gonna be a big star
Might win an Oscar, you can never tell
The movies gonna make me a big star
'Cause I can play the part so well

[Verse 2]
Well I hope you'll come and see me in the movies
Then I know that you will plainly see
The biggest fool that ever hit the big time
And all I gotta do is act naturallyYou might also like4Embed"
It's Only Love,"It’s Only Love Lyrics[Verse 1]
I get high when I see you go by
My, oh, my
When you sigh, my, my inside just flies
Butterflies
Why am I so shy when I'm beside you?

[Chorus]
It's only love and that is all
Why should I feel the way I do?
It's only love, and that is all
But it's so hard loving you
[Verse 2]
Is it right that you and I should fight
Every night?
Just the sight of you makes nighttime bright
Very bright
Haven't I the right to make it up, girl?

[Chorus]
It's only love and that is all
Why should I feel the way I do?
It's only love, and that is all
But it's so hard loving you

[Outro]
Yes, it's so hard loving you, loving youYou might also like2Embed"
You Like Me Too Much,"You Like Me Too Much Lyrics[Verse 1]
Though you've gone away this morning
You'll be back again tonight
Telling me there'll be no next time
If I just don't treat you right
You'll never leave me and you know it's true
'Cause you like me too much and I like you

[Verse 2]
You've tried before to leave me
But you haven't got the nerve
To walk out and make me lonely
Which is all that I deserve
You'll never leave me and you know it's true
'Cause you like me too much and I like you
[Chorus]
I really do, and it's nice when you believe me
If you leave me
I will follow you and bring you back where you belong
'Cause I couldn't really stand it
I admit that I was wrong
I wouldn't let you leave me 'cause it's true
'Cause you like me too much and I like you
'Cause you like me too much and I like you

[Chorus]
I really do, and it's nice when you believe me
If you leave me
I will follow you and bring you back where you belong
'Cause I couldn't really stand it
I admit that I was wrong
I wouldn't let you leave me 'cause it's true
'Cause you like me too much and I like you
'Cause you like me too much and I like youYou might also like3Embed"
Tell Me What You See,"Tell Me What You See Lyrics[Verse 1]
If you let me take your heart I will prove to you
We will never be apart if I'm part of you
Open up your eyes now, tell me what you see
It is no surprise now, what you see is me

[Verse 2]
Big and black the clouds may be, time will pass away
If you put your trust in me I'll make bright your day
Look into these eyes now, tell me what you see
Don't you realise now, what you see is me
Tell me what you see
[Verse 3]
Listen to me one more time, how can I get through?
Can't you try to see that I'm trying to get to you?
Open up your eyes now, tell me what you see
It is no surprise now, what you see is me
Tell me what you see

[Verse 4]
Listen to me one more time, how can I get through?
Can't you try to see that I'm trying to get to you?
Open up your eyes now, tell me what you see
It is no surprise now, what you see is me
HmmYou might also like3Embed"
I've Just Seen a Face,"I’ve Just Seen a Face Lyrics[Verse 1]
I've just seen a face I can't forget the time or place
Where we just met, she's just the girl for me
And I want all the world to see we've met
Mmm-mmm-mmm-m'mmm-mmm

[Verse 2]
Had it been another day I might have looked the other way
And I'd have never been aware
But as it is I'll dream of her tonight
Di-di-di-di'n'di
[Chorus]
Fallin', yes I am fallin'
And she keeps callin' me back again

[Verse 3]
I have never known the like of this I've been alone
And I have missed things and kept out of sight
But other girls were never quite like this
Da-da-n'da-da'n'da

[Chorus]
Fallin', yes I am fallin'
And she keeps callin' me back again

[Guitar Solo]

[Chorus]
Fallin', yes I am fallin'
And she keeps callin' me back again

[Verse 1]
I've just seen a face I can't forget the time or place
Where we just met, she's just the girl for me
And I want all the world to see we've met
Mmm-mmm-mmm-da-da-da
You might also like[Chorus]
Fallin', yes I am fallin'
And she keeps callin' me back again
Fallin', yes I am fallin'
And she keeps callin' me back again

[Outro]
Oh, fallin', yes I am fallin'
And she keeps callin' me back again6Embed"
Yesterday,"Yesterday Lyrics[Verse 1]
Yesterday
All my troubles seemed so far away
Now it looks as though they're here to stay
Oh, I believe in yesterday

[Verse 2]
Suddenly
I'm not half the man I used to be
There's a shadow hanging over me
Oh, yesterday came suddenly
[Chorus]
Why she had to go? I don't know, she wouldn't say
I said something wrong, now I long for yesterday

[Verse 3]
Yesterday
Love was such an easy game to play
Now I need a place to hide away
Oh, I believe in yesterday

[Chorus]
Why she had to go? I don't know, she wouldn't say
I said something wrong, now I long for yesterday

[Verse 3]
Yesterday
Love was such an easy game to play
Now I need a place to hide away
Oh, I believe in yesterday

[Outro]
Mmm-mmm-mmm-mmm-mmm, hmm-hmmYou might also like92Embed"
Dizzy Miss Lizzy,"Dizzy Miss Lizzy Lyrics[Verse 1]
You make me dizzy, Miss Lizzy
The way you rock and roll
You make me dizzy, Miss Lizzy
When you do the stroll
Come on, Miss Lizzy
Love me before I grow too old

[Verse 2]
Come on, give me fever
Put your little hand in mine
You make me dizzy, dizzy Lizzy
Oh girl, you look so fine
Just a-rocking and a-rolling
Girl I said I wish you were mine
[Interlude]
Aw!
Aw!
Woo!

[Verse 3]
You make me dizzy, Miss Lizzy
When you call my name
Oooh baby
Say you're driving me insane
C'mon, c'mon, c'mon, c'mon baby
I want to be your loving man

[Interlude]
Ooh
Ooh
Aw!

[Verse 4]
Run and tell your mama
I want you to be my bride
Run and tell your brother
Baby, don't run and hide
You make me dizzy, Miss Lizzy
Girl, I want to marry you
You might also like[Verse 2]
Come on, give me fever
Put your little hand in mine, girl
You make me dizzy, dizzy Lizzy
Girl, you look so fine
You're just a-rocking and a-rolling
Oh I said I wish you were mine

[Outro]1Embed"
Drive My Car,"Drive My Car Lyrics[Verse 1]
Asked a girl what she wanted to be
She said baby, can't you see
I wanna be famous, a star on the screen
But you can do something in between
[Chorus]
Baby, you can drive my car
Yes, I'm gonna be a star
Baby, you can drive my car
And maybe I'll love you
[Verse 2]
I told that girl that my prospects were good
And she said baby, it's understood
Working for peanuts is all very fine
But I can show you a better time
[Chorus]
Baby, you can drive my car
Yes, I'm gonna be a star
Baby, you can drive my car
And maybe I'll love you
Beep beep'm beep beep yeah!
[Guitar Solo]
[Chorus]
Baby, you can drive my car
Yes, I'm gonna be a star
Baby, you can drive my car
And maybe I'll love you

[Verse 3]
I told that girl I can start right away
When she said listen, babe, I got something to say
I got no car and it's breakin' my heart
But I've found a driver and that's a start
You might also like[Chorus]
Baby, you can drive my car
Yes, I'm gonna be a star
Baby, you can drive my car
And maybe I'll love you

[Outro]
Beep beep'm beep beep, yeah!
Beep beep'm beep beep, yeah!
Beep beep'm beep beep, yeah!6Embed"
Norwegian Wood (This Bird Has Flown),"Norwegian Wood (This Bird Has Flown) Lyrics[Verse 1: John Lennon]
I once had a girl
Or should I say, she once had me?
She showed me her room
""Isn't it good, Norwegian wood?""

[Bridge: John Lennon & Paul McCartney]
She asked me to stay and she told me to sit anywhere
So I looked around and I noticed there wasn't a chair

[Verse 2: John Lennon]
I sat on the rug
Biding my time, drinking her wine
We talked until two
And then she said, ""It's time for bed""
[Bridge: John Lennon & Paul McCartney]
She told me she worked in the morning and started to laugh
I told her I didn't and crawled off to sleep in the bath

[Verse 3: John Lennon]
And when I awoke
I was alone, this bird had flown
So I lit a fire
Isn't it good, Norwegian wood?You might also like22Embed"
You Won't See Me,"You Won’t See Me Lyrics[Verse 1]
When I call you up, your line's engaged
I have had enough, so act your age
We have lost the time that was so hard to find
And I will lose my mind

[Chorus]
If you won't see me (You won't see me)
You won't see me (You won't see me)
[Verse 2]
I don't know why you should want to hide
(Ooh, la la la, ooh, la la la)
But I can't get through, my hands are tied
(Ooh, la la la, ooh, la la la)
I won't want to stay, I don't have much to say
(Ooh, la la la, ooh, la la la)
But I get turned away (Ooh, la la la)
[Chorus]
And you won't see me (You won't see me)
You won't see me (You won't see me)

[Bridge]
Time after time
You refuse to even listen
I wouldn't mind
If I knew what I was missing

[Verse 3]
Though the days are few, they're filled with tears
(Ooh, la la la, ooh, la la la)
And since I lost you, it feels like years
(Ooh, la la la, ooh, la la la)
Yes, it seems so long, girl, since you've been gone
(Ooh, la la la, ooh, la la la)
And I just can't go on (Ooh, la la la)

[Chorus]
If you won't see me (You won't see me)
You won't see me (You won't see me)

[Bridge]
Time after time
You refuse to even listen
I wouldn't mind
If I knew what I was missing
You might also like[Verse 3]
Though the days are few, they're filled with tears
(Ooh, la la la, ooh, la la la)
And since I lost you, it feels like years
(Ooh, la la la, ooh, la la la)
Yes, it seems so long, girl, since you've been gone
(Ooh, la la la, ooh, la la la)
And I just can't go on (Ooh, la la la)

[Chorus]
If you won't see me (You won't see me)
You won't see me (You won't see me)

[Outro]
(Yeah) Ooh, la la la (Yeah, yeah)
Ooh, la la la2Embed"
Nowhere Man,"Nowhere Man Lyrics[Verse 1: John Lennon, Paul McCartney, & George Harrison]
He's a real nowhere man
Sitting in his nowhere land
Making all his nowhere plans for nobody

[Verse 2: John Lennon, Paul McCartney, & George Harrison]
Doesn't have a point of view
Knows not where he's going to
Isn't he a bit like you and me?

[Bridge 1: John Lennon]
Nowhere man, please, listen
You don't know what you're missing
Nowhere man, the world is at your command
[Verse 3: John Lennon, Paul McCartney, & George Harrison]
He's as blind as he can be
Just sees what he wants to see
Nowhere man, can you see me at all?

[Bridge 2: John Lennon]
Nowhere man, don't worry
Take your time, don't hurry
Leave it all 'till somebody else lends you a hand

[Verse 2: John Lennon, Paul McCartney, & George Harrison]
Doesn't have a point of view
Knows not where he's going to
Isn't he a bit like you and me?

[Bridge 1: John Lennon]
Nowhere man, please, listen
You don't know what you're missing
Nowhere man, the world is at your command

[Verse 1: John Lennon, Paul McCartney, & George Harrison]
He's a real nowhere man
Sitting in his nowhere land
Making all his nowhere plans for nobody
Making all his nowhere plans for nobody
Making all his nowhere plans for nobodyYou might also like6Embed"
Think for Yourself,"Think for Yourself Lyrics[Verse 1]
I've got a word or two
To say about the things that you do
You're telling all those lies
About the good things that we can have
If we close our eyes

[Chorus]
Do what you want to do
And go where you're going to
Think for yourself
'Cause I won't be there with you
[Verse 2]
I left you far behind
The ruins of the life that you have in mind
And though you still can't see
I know your mind's made up
You're gonna cause more misery

[Chorus]
Do what you want to do
And go where you're going to
Think for yourself
'Cause I won't be there with you

[Verse 3]
Although your mind's opaque
Try thinking more if just for your own sake
The future still looks good
And you've got time to rectify
All the things that you should

[Chorus]
Do what you want to do
And go where you're going to
Think for yourself
'Cause I won't be there with you
Do what you want to do
And go where you're going to
Think for yourself
'Cause I won't be there with you
You might also like[Outro]
Think for yourself
'Cause I won't be there with youEmbed"
The Word,"The Word Lyrics[Verse 1]
Say the word and you'll be free
Say the word and be like me
Say the word I'm thinking of
Have you heard the word is love?
It's so fine, It's sunshine
It's the word, love

[Bridge 1]
In the beginning I misunderstood
But now I've got it, the word is good
[Verse 2]
Spread the word and you'll be free
Spread the word and be like me
Spread the word I'm thinking of
Have you heard the word is love?
It's so fine, It's sunshine
It's the word, love

[Bridge 2]
Everywhere I go I hear it said
In the good and the bad books that I have read

[Verse 3]
Say the word and you'll be free
Say the word and be like me
Say the word I'm thinking of
Have you heard the word is love?
It's so fine, It's sunshine
It's the word, love

[Bridge 3]
Now that I know what I feel must be right
I'm here to show everybody the light

[Verse 4]
Give the word a chance to say
That the word is just the way
It's the word I'm thinking of
And the only word is love
It's so fine, It's sunshine
It's the word, love
You might also like[Outro]
Say the word, love
Say the word, love
Say the word, love
Say the word, love3Embed"
Michelle,"Michelle Lyrics[Chorus]
Michelle, ma belle
These are words that go together well
My Michelle
Michelle, ma belle
Sont les mots qui vont très bien ensemble
Très bien ensemble

[Verse 1]
I love you, I love you, I love you
That's all I want to say
Until I find a way
I will say the only words I know that you'll understand
[Chorus]
Michelle, ma belle
Sont les mots qui vont très bien ensemble
Très bien ensemble

[Verse 2]
I need to, I need to, I need to
I need to make you see
Oh, what you mean to me
Until I do, I'm hoping you will know what I mean
I love you

[Guitar solo]

[Verse 3]
I want you, I want you, I want you
I think you know by now
I'll get to you somehow
Until I do I'm telling you so you'll understand

[Chorus]
Michelle, ma belle
Sont les mots qui vont très bien ensemble
Très bien ensemble

[Outro]
And I will say the only words I know that you'll understand
My MichelleYou might also like18Embed"
What Goes On,"What Goes On Lyrics[Chorus]
What goes on in your heart?
What goes on in your mind?
You are tearin' me apart
When you treat me so unkind
What goes on in your mind?

[Verse 1]
The other day I saw you as I walked along the road
But when I saw him with you, I could feel my future fold
It's so easy for a girl like you to lie
Tell me why
[Chorus]
What goes on in your heart?
What goes on in your mind?
You are tearin' me apart
When you treat me so unkind
What goes on in your mind?

[Verse 2]
I met you in the morning waiting for the tides of time
But now the tide is turning, I can see that I was blind
It's so easy for a girl like you to lie
Tell me why
What goes on in your heart?

[Instrumental Break]

[Verse 3]
I used to think of no one else but you were just the same
You didn't even think of me as someone with a name
Did you mean to break my heart and watch me die?
Tell me why

[Chorus]
What goes on in your heart?
What goes on in your mind?
You are tearing me apart
When you treat me so unkind
What goes on in your mind?You might also like5Embed"
Girl,"Girl Lyrics[Verse 1: John Lennon]
Is there anybody going to listen to my story
All about the girl who came to stay?
She's the kind of girl you want so much, it makes you sorry
Still, you don't regret a single day

[Chorus: John Lennon, Paul McCartney, George Harrison]
Ah, girl
Girl, girl

[Verse 2: John Lennon]
When I think of all the times I've tried so hard to leave her
She will turn to me and start to cry
And she promises the Earth to me and I believe her
After all this time I don't know why
[Chorus: John Lennon, Paul McCartney, George Harrison]
Ah, girl
Girl, girl

[Bridge: John Lennon, Paul McCartney & George Harrison]
She's the kind of girl who puts you down (Tit, tit, tit, tit, tit, tit, tit, tit)
When friends are there, you feel a fool (Tit, tit, tit, tit, tit, tit, tit, tit)
(Tit, tit, tit, tit, tit, tit, tit, tit, tit, tit, tit, tit, tit, tit, tit, tit)
When you say she's looking good (Tit, tit, tit, tit, tit, tit, tit, tit)
She acts as if it's understood (Tit, tit, tit, tit, tit, tit, tit, tit)
She's cool, ooh, ooh, ooh (Tit, tit, tit, tit, tit, tit, tit, tit, tit, tit, tit, tit, tit, tit, tit, tit)

[Chorus: John Lennon, Paul McCartney, George Harrison]
Girl
Girl, girl

[Verse 3: John Lennon]
Was she told when she was young that pain would lead to pleasure?
Did she understand it when they said
That a man must break his back to earn his day of leisure?
Will she still believe it when he's dead?

[Chorus: John Lennon, Paul McCartney, George Harrison]
Ah, girl
Girl, girl
You might also like[Instrumental Break]

[Chorus: John Lennon, Paul McCartney, George Harrison]
Ah, girl
Girl, girl16Embed"
I'm Looking Through You,"I’m Looking Through You Lyrics[Verse 1]
I'm looking through you, where did you go?
I thought I knew you, what did I know?
You don't look different, but you have changed
I'm looking through you, you're not the same

[Verse 2]
Your lips are moving, I cannot hear
Your voice is soothing, but the words aren't clear
You don't sound different, I've learned the game
I'm looking through you, you're not the same
[Bridge]
Why, tell me why, did you not treat me right?
Love has a nasty habit of disappearing overnight

[Verse 3]
You're thinking of me, the same old way
You were above me, but not today
The only difference is you're down there
I'm looking through you, and you're nowhere

[Bridge]
Why, tell me why, did you not treat me right?
Love has a nasty habit of disappearing overnight

[Verse 4]
I'm looking through you, where did you go?
I thought I knew you, what did I know?
You don't look different, but you have changed
I'm looking through you, you're not the same

[Outro]
Yeah, oh, baby, you've changed
Ah, I'm looking through you
Yeah, I'm looking through you
You changed, you changed, you changed, you changedYou might also like4Embed"
In My Life,"In My Life Lyrics[Verse 1: John Lennon & Paul McCartney]
There are places I'll remember
All my life, though some have changed
Some forever, not for better
Some have gone and some remain

[Chorus 1: John Lennon & Paul McCartney]
All these places had their moments
With lovers and friends, I still can recall
Some are dead and some are living
In my life, I've loved them all
[Verse 2: John Lennon & Paul McCartney]
But of all these friends and lovers
There is no one compares with you
And these memories lose their meaning
When I think of love as something new

[Chorus 2: John Lennon with Paul McCartney]
Though I know I'll never lose affection
For people and things that went before
I know I'll often stop and think about them
In my life, I love you more

[Piano Solo]

[Chorus 2: John Lennon & Paul McCartney]
Though I know I'll never lose affection
For people and things that went before
I know I'll often stop and think about them
In my life, I love you more

[Outro: John Lennon]
In my life, I love you moreYou might also like35Embed"
